Date,y,dayofweek,month,dayofyear,weekofyear,is_weekend,lag_1,lag_7,lag_14,lag_28,lag_365,roll_mean_7,roll_mean_28
2011-02-21,850,0,2,52,8,0,880.0,857.0,870.0,853.0,858.0,864.1428571428571,855.1428571428571
2011-02-22,867,1,2,53,8,0,850.0,851.0,859.0,849.0,870.0,863.1428571428571,855.0357142857143
2011-02-23,873,2,2,54,8,0,867.0,880.0,856.0,822.0,855.0,865.4285714285714,855.6785714285714
2011-02-24,865,3,2,55,8,0,873.0,863.0,856.0,842.0,837.0,864.4285714285714,857.5
2011-02-25,876,4,2,56,8,0,865.0,859.0,870.0,845.0,856.0,864.7142857142857,858.3214285714286
2011-02-26,866,5,2,57,8,1,876.0,859.0,868.0,858.0,846.0,867.1428571428571,859.4285714285714
2011-02-27,874,6,2,58,8,1,866.0,880.0,851.0,832.0,853.0,868.1428571428571,859.7142857142857
2011-02-28,872,0,2,59,9,0,874.0,850.0,857.0,839.0,860.0,867.2857142857143,861.2142857142857
2011-03-01,866,1,3,60,9,0,872.0,867.0,851.0,842.0,848.0,870.4285714285714,862.3928571428571
2011-03-02,860,2,3,61,9,0,866.0,873.0,880.0,852.0,861.0,870.2857142857143,863.25
2011-03-03,863,3,3,62,9,0,860.0,865.0,863.0,841.0,848.0,868.4285714285714,863.5357142857143
2011-03-04,867,4,3,63,9,0,863.0,876.0,859.0,862.0,868.0,868.1428571428571,864.3214285714286
2011-03-05,879,5,3,64,9,1,867.0,866.0,859.0,864.0,861.0,866.8571428571429,864.5
2011-03-06,862,6,3,65,9,1,879.0,874.0,880.0,864.0,846.0,868.7142857142857,865.0357142857143
2011-03-07,889,0,3,66,10,0,862.0,872.0,850.0,870.0,868.0,867.0,864.9642857142857
2011-03-08,873,1,3,67,10,0,889.0,866.0,867.0,859.0,850.0,869.4285714285714,865.6428571428571
2011-03-09,866,2,3,68,10,0,873.0,860.0,873.0,856.0,879.0,870.4285714285714,866.1428571428571
2011-03-10,874,3,3,69,10,0,866.0,863.0,865.0,856.0,876.0,871.2857142857143,866.5
2011-03-11,875,4,3,70,10,0,874.0,867.0,876.0,870.0,846.0,872.8571428571429,867.1428571428571
2011-03-12,874,5,3,71,10,1,875.0,879.0,866.0,868.0,864.0,874.0,867.3214285714286
2011-03-13,879,6,3,72,10,1,874.0,862.0,874.0,851.0,860.0,873.2857142857143,867.5357142857143
2011-03-14,853,0,3,73,11,0,879.0,889.0,872.0,857.0,867.0,875.7142857142857,868.5357142857143
2011-03-15,876,1,3,74,11,0,853.0,873.0,866.0,851.0,867.0,870.5714285714286,868.3928571428571
2011-03-16,851,2,3,75,11,0,876.0,866.0,860.0,880.0,871.0,871.0,869.2857142857143
2011-03-17,868,3,3,76,11,0,851.0,874.0,863.0,863.0,872.0,868.8571428571429,868.25
2011-03-18,885,4,3,77,11,0,868.0,875.0,867.0,859.0,857.0,868.0,868.4285714285714
2011-03-19,862,5,3,78,11,1,885.0,874.0,879.0,859.0,872.0,869.4285714285714,869.3571428571429
2011-03-20,875,6,3,79,11,1,862.0,879.0,862.0,880.0,860.0,867.7142857142857,869.4642857142857
2011-03-21,868,0,3,80,12,0,875.0,853.0,889.0,850.0,873.0,867.1428571428571,869.2857142857143
2011-03-22,857,1,3,81,12,0,868.0,876.0,873.0,867.0,866.0,869.2857142857143,869.9285714285714
2011-03-23,873,2,3,82,12,0,857.0,851.0,866.0,873.0,875.0,866.5714285714286,869.5714285714286
2011-03-24,876,3,3,83,12,0,873.0,868.0,874.0,865.0,874.0,869.7142857142857,869.5714285714286
2011-03-25,859,4,3,84,12,0,876.0,885.0,875.0,876.0,870.0,870.8571428571429,869.9642857142857
2011-03-26,868,5,3,85,12,1,859.0,862.0,874.0,866.0,864.0,867.1428571428571,869.3571428571429
2011-03-27,853,6,3,86,12,1,868.0,875.0,879.0,874.0,854.0,868.0,869.4285714285714
2011-03-28,876,0,3,87,13,0,853.0,868.0,853.0,872.0,883.0,864.8571428571429,868.6785714285714
2011-03-29,875,1,3,88,13,0,876.0,857.0,876.0,866.0,862.0,866.0,868.8214285714286
2011-03-30,886,2,3,89,13,0,875.0,873.0,851.0,860.0,866.0,868.5714285714286,869.1428571428571
2011-03-31,858,3,3,90,13,0,886.0,876.0,868.0,863.0,875.0,870.4285714285714,870.0714285714286
2011-04-01,865,4,4,91,13,0,858.0,859.0,885.0,867.0,852.0,867.8571428571429,869.8928571428571
2011-04-02,892,5,4,92,13,1,865.0,868.0,862.0,879.0,873.0,868.7142857142857,869.8214285714286
2011-04-03,884,6,4,93,13,1,892.0,853.0,875.0,862.0,850.0,872.1428571428571,870.2857142857143
2011-04-04,889,0,4,94,14,0,884.0,876.0,868.0,889.0,854.0,876.5714285714286,871.0714285714286
2011-04-05,878,1,4,95,14,0,889.0,875.0,857.0,873.0,863.0,878.4285714285714,871.0714285714286
2011-04-06,880,2,4,96,14,0,878.0,886.0,873.0,866.0,871.0,878.8571428571429,871.25
2011-04-07,865,3,4,97,14,0,880.0,858.0,876.0,874.0,848.0,878.0,871.75
2011-04-08,888,4,4,98,14,0,865.0,865.0,859.0,875.0,880.0,879.0,871.4285714285714
2011-04-09,871,5,4,99,14,1,888.0,892.0,868.0,874.0,883.0,882.2857142857143,871.8928571428571
2011-04-10,859,6,4,100,14,1,871.0,884.0,853.0,879.0,877.0,879.2857142857143,871.7857142857143
2011-04-11,890,0,4,101,15,0,859.0,889.0,876.0,853.0,877.0,875.7142857142857,871.0714285714286
2011-04-12,876,1,4,102,15,0,890.0,878.0,875.0,876.0,873.0,875.8571428571429,872.3928571428571
2011-04-13,877,2,4,103,15,0,876.0,880.0,886.0,851.0,863.0,875.5714285714286,872.3928571428571
2011-04-14,866,3,4,104,15,0,877.0,865.0,858.0,868.0,855.0,875.1428571428571,873.3214285714286
2011-04-15,881,4,4,105,15,0,866.0,888.0,865.0,885.0,844.0,875.2857142857143,873.25
2011-04-16,878,5,4,106,15,1,881.0,871.0,892.0,862.0,864.0,874.2857142857143,873.1071428571429
2011-04-17,857,6,4,107,15,1,878.0,859.0,884.0,875.0,864.0,875.2857142857143,873.6785714285714
2011-04-18,860,0,4,108,16,0,857.0,890.0,889.0,868.0,857.0,875.0,873.0357142857143
2011-04-19,878,1,4,109,16,0,860.0,876.0,878.0,857.0,866.0,870.7142857142857,872.75
2011-04-20,865,2,4,110,16,0,878.0,877.0,880.0,873.0,865.0,871.0,873.5
2011-04-21,882,3,4,111,16,0,865.0,866.0,865.0,876.0,867.0,869.2857142857143,873.2142857142857
2011-04-22,876,4,4,112,16,0,882.0,881.0,888.0,859.0,862.0,871.5714285714286,873.4285714285714
2011-04-23,872,5,4,113,16,1,876.0,878.0,871.0,868.0,862.0,870.8571428571429,874.0357142857143
2011-04-24,862,6,4,114,16,1,872.0,857.0,859.0,853.0,852.0,870.0,874.1785714285714
2011-04-25,857,0,4,115,17,0,862.0,860.0,890.0,876.0,864.0,870.7142857142857,874.5
2011-04-26,876,1,4,116,17,0,857.0,878.0,876.0,875.0,865.0,870.2857142857143,873.8214285714286
2011-04-27,874,2,4,117,17,0,876.0,865.0,877.0,886.0,865.0,870.0,873.8571428571429
2011-04-28,869,3,4,118,17,0,874.0,882.0,866.0,858.0,841.0,871.2857142857143,873.4285714285714
2011-04-29,869,4,4,119,17,0,869.0,876.0,881.0,865.0,875.0,869.4285714285714,873.8214285714286
2011-04-30,862,5,4,120,17,1,869.0,872.0,878.0,892.0,861.0,868.4285714285714,873.9642857142857
2011-05-01,868,6,5,121,17,1,862.0,862.0,857.0,884.0,854.0,867.0,872.8928571428571
2011-05-02,859,0,5,122,18,0,868.0,857.0,860.0,889.0,876.0,867.8571428571429,872.3214285714286
2011-05-03,868,1,5,123,18,0,859.0,876.0,878.0,878.0,855.0,868.1428571428571,871.25
2011-05-04,872,2,5,124,18,0,868.0,874.0,865.0,880.0,872.0,867.0,870.8928571428571
2011-05-05,861,3,5,125,18,0,872.0,869.0,882.0,865.0,850.0,866.7142857142857,870.6071428571429
2011-05-06,851,4,5,126,18,0,861.0,869.0,876.0,888.0,858.0,865.5714285714286,870.4642857142857
2011-05-07,883,5,5,127,18,1,851.0,862.0,872.0,871.0,843.0,863.0,869.1428571428571
2011-05-08,856,6,5,128,18,1,883.0,868.0,862.0,859.0,849.0,866.0,869.5714285714286
2011-05-09,878,0,5,129,19,0,856.0,859.0,857.0,890.0,843.0,864.2857142857143,869.4642857142857
2011-05-10,856,1,5,130,19,0,878.0,868.0,876.0,876.0,857.0,867.0,869.0357142857143
2011-05-11,853,2,5,131,19,0,856.0,872.0,874.0,877.0,859.0,865.2857142857143,868.3214285714286
2011-05-12,881,3,5,132,19,0,853.0,861.0,869.0,866.0,866.0,862.5714285714286,867.4642857142857
2011-05-13,883,4,5,133,19,0,881.0,851.0,869.0,881.0,872.0,865.4285714285714,868.0
2011-05-14,850,5,5,134,19,1,883.0,883.0,862.0,878.0,860.0,870.0,868.0714285714286
2011-05-15,875,6,5,135,19,1,850.0,856.0,868.0,857.0,874.0,865.2857142857143,867.0714285714286
2011-05-16,870,0,5,136,20,0,875.0,878.0,859.0,860.0,867.0,868.0,867.7142857142857
2011-05-17,851,1,5,137,20,0,870.0,856.0,868.0,878.0,857.0,866.8571428571429,868.0714285714286
2011-05-18,862,2,5,138,20,0,851.0,853.0,872.0,865.0,842.0,866.1428571428571,867.1071428571429
2011-05-19,844,3,5,139,20,0,862.0,881.0,861.0,882.0,834.0,867.4285714285714,867.0
2011-05-20,842,4,5,140,20,0,844.0,883.0,851.0,876.0,843.0,862.1428571428571,865.6428571428571
2011-05-21,853,5,5,141,20,1,842.0,850.0,883.0,872.0,843.0,856.2857142857143,864.4285714285714
2011-05-22,860,6,5,142,20,1,853.0,875.0,856.0,862.0,832.0,856.7142857142857,863.75
2011-05-23,873,0,5,143,21,0,860.0,870.0,878.0,857.0,846.0,854.5714285714286,863.6785714285714
2011-05-24,865,1,5,144,21,0,873.0,851.0,856.0,876.0,828.0,855.0,864.25
2011-05-25,860,2,5,145,21,0,865.0,862.0,853.0,874.0,840.0,857.0,863.8571428571429
2011-05-26,856,3,5,146,21,0,860.0,844.0,881.0,869.0,836.0,856.7142857142857,863.3571428571429
2011-05-27,854,4,5,147,21,0,856.0,842.0,883.0,869.0,859.0,858.4285714285714,862.8928571428571
2011-05-28,848,5,5,148,21,1,854.0,853.0,850.0,862.0,845.0,860.1428571428571,862.3571428571429
2011-05-29,858,6,5,149,21,1,848.0,860.0,875.0,868.0,838.0,859.4285714285714,861.8571428571429
2011-05-30,827,0,5,150,22,0,858.0,873.0,870.0,859.0,860.0,859.1428571428571,861.5
2011-05-31,840,1,5,151,22,0,827.0,865.0,851.0,868.0,818.0,852.5714285714286,860.3571428571429
2011-06-01,846,2,6,152,22,0,840.0,860.0,862.0,872.0,847.0,849.0,859.3571428571429
2011-06-02,850,3,6,153,22,0,846.0,856.0,844.0,861.0,829.0,847.0,858.4285714285714
2011-06-03,845,4,6,154,22,0,850.0,854.0,842.0,851.0,831.0,846.1428571428571,858.0357142857143
2011-06-04,844,5,6,155,22,1,845.0,848.0,853.0,883.0,849.0,844.8571428571429,857.8214285714286
2011-06-05,857,6,6,156,22,1,844.0,858.0,860.0,856.0,850.0,844.2857142857143,856.4285714285714
2011-06-06,846,0,6,157,23,0,857.0,827.0,873.0,878.0,819.0,844.1428571428571,856.4642857142857
2011-06-07,845,1,6,158,23,0,846.0,840.0,865.0,856.0,840.0,846.8571428571429,855.3214285714286
2011-06-08,842,2,6,159,23,0,845.0,846.0,860.0,853.0,846.0,847.5714285714286,854.9285714285714
2011-06-09,839,3,6,160,23,0,842.0,850.0,856.0,881.0,831.0,847.0,854.5357142857143
2011-06-10,841,4,6,161,23,0,839.0,845.0,854.0,883.0,840.0,845.4285714285714,853.0357142857143
2011-06-11,844,5,6,162,23,1,841.0,844.0,848.0,850.0,827.0,844.8571428571429,851.5357142857143
2011-06-12,856,6,6,163,23,1,844.0,857.0,858.0,875.0,837.0,844.8571428571429,851.3214285714286
2011-06-13,844,0,6,164,24,0,856.0,846.0,827.0,870.0,832.0,844.7142857142857,850.6428571428571
2011-06-14,828,1,6,165,24,0,844.0,845.0,840.0,851.0,833.0,844.4285714285714,849.7142857142857
2011-06-15,838,2,6,166,24,0,828.0,842.0,846.0,862.0,821.0,842.0,848.8928571428571
2011-06-16,835,3,6,167,24,0,838.0,839.0,850.0,844.0,838.0,841.4285714285714,848.0357142857143
2011-06-17,823,4,6,168,24,0,835.0,841.0,845.0,842.0,829.0,840.8571428571429,847.7142857142857
2011-06-18,815,5,6,169,24,1,823.0,844.0,844.0,853.0,812.0,838.2857142857143,847.0357142857143
2011-06-19,839,6,6,170,24,1,815.0,856.0,857.0,860.0,807.0,834.1428571428571,845.6785714285714
2011-06-20,842,0,6,171,25,0,839.0,844.0,846.0,873.0,813.0,831.7142857142857,844.9285714285714
2011-06-21,842,1,6,172,25,0,842.0,828.0,845.0,865.0,807.0,831.4285714285714,843.8214285714286
2011-06-22,831,2,6,173,25,0,842.0,838.0,842.0,860.0,821.0,833.4285714285714,843.0
2011-06-23,841,3,6,174,25,0,831.0,835.0,839.0,856.0,833.0,832.4285714285714,841.9642857142857
2011-06-24,835,4,6,175,25,0,841.0,823.0,841.0,854.0,824.0,833.2857142857143,841.4285714285714
2011-06-25,837,5,6,176,25,1,835.0,815.0,844.0,848.0,821.0,835.0,840.75
2011-06-26,829,6,6,177,25,1,837.0,839.0,856.0,858.0,809.0,838.1428571428571,840.3571428571429
2011-06-27,806,0,6,178,26,0,829.0,842.0,844.0,827.0,823.0,836.7142857142857,839.3214285714286
2011-06-28,813,1,6,179,26,0,806.0,842.0,828.0,840.0,811.0,831.5714285714286,838.5714285714286
2011-06-29,813,2,6,180,26,0,813.0,831.0,838.0,846.0,830.0,827.4285714285714,837.6071428571429
2011-06-30,826,3,6,181,26,0,813.0,841.0,835.0,850.0,797.0,824.8571428571429,836.4285714285714
2011-07-01,807,4,7,182,26,0,826.0,835.0,823.0,845.0,812.0,822.7142857142857,835.5714285714286
2011-07-02,812,5,7,183,26,1,807.0,837.0,815.0,844.0,811.0,818.7142857142857,834.2142857142857
2011-07-03,832,6,7,184,26,1,812.0,829.0,839.0,857.0,791.0,815.1428571428571,833.0714285714286
2011-07-04,812,0,7,185,27,0,832.0,806.0,842.0,846.0,811.0,815.5714285714286,832.1785714285714
2011-07-05,822,1,7,186,27,0,812.0,813.0,842.0,845.0,816.0,816.4285714285714,830.9642857142857
2011-07-06,825,2,7,187,27,0,822.0,813.0,831.0,842.0,814.0,817.7142857142857,830.1428571428571
2011-07-07,808,3,7,188,27,0,825.0,826.0,841.0,839.0,812.0,819.4285714285714,829.5357142857143
2011-07-08,799,4,7,189,27,0,808.0,807.0,835.0,841.0,801.0,816.8571428571429,828.4285714285714
2011-07-09,818,5,7,190,27,1,799.0,812.0,837.0,844.0,813.0,815.7142857142857,826.9285714285714
2011-07-10,824,6,7,191,27,1,818.0,832.0,829.0,856.0,808.0,816.5714285714286,826.0
2011-07-11,817,0,7,192,28,0,824.0,812.0,806.0,844.0,796.0,815.4285714285714,824.8571428571429
2011-07-12,798,1,7,193,28,0,817.0,822.0,813.0,828.0,798.0,816.1428571428571,823.8928571428571
2011-07-13,816,2,7,194,28,0,798.0,825.0,813.0,838.0,807.0,812.7142857142857,822.8214285714286
2011-07-14,810,3,7,195,28,0,816.0,808.0,826.0,835.0,810.0,811.4285714285714,822.0357142857143
2011-07-15,821,4,7,196,28,0,810.0,799.0,807.0,823.0,797.0,811.7142857142857,821.1428571428571
2011-07-16,819,5,7,197,28,1,821.0,818.0,812.0,815.0,811.0,814.8571428571429,821.0714285714286
2011-07-17,806,6,7,198,28,1,819.0,824.0,832.0,839.0,794.0,815.0,821.2142857142857
2011-07-18,787,0,7,199,29,0,806.0,817.0,812.0,842.0,802.0,812.4285714285714,820.0357142857143
2011-07-19,792,1,7,200,29,0,787.0,798.0,822.0,842.0,804.0,808.1428571428571,818.0714285714286
2011-07-20,817,2,7,201,29,0,792.0,816.0,825.0,831.0,799.0,807.2857142857143,816.2857142857143
2011-07-21,804,3,7,202,29,0,817.0,810.0,808.0,841.0,795.0,807.4285714285714,815.7857142857143
2011-07-22,810,4,7,203,29,0,804.0,821.0,799.0,835.0,806.0,806.5714285714286,814.4642857142857
2011-07-23,804,5,7,204,29,1,810.0,819.0,818.0,837.0,802.0,805.0,813.5714285714286
2011-07-24,811,6,7,205,29,1,804.0,806.0,824.0,829.0,807.0,802.8571428571429,812.3928571428571
2011-07-25,815,0,7,206,30,0,811.0,787.0,817.0,806.0,791.0,803.5714285714286,811.75
2011-07-26,796,1,7,207,30,0,815.0,792.0,798.0,813.0,801.0,807.5714285714286,812.0714285714286
2011-07-27,796,2,7,208,30,0,796.0,817.0,816.0,813.0,797.0,808.1428571428571,811.4642857142857
2011-07-28,798,3,7,209,30,0,796.0,804.0,810.0,826.0,804.0,805.1428571428571,810.8571428571429
2011-07-29,782,4,7,210,30,0,798.0,810.0,821.0,807.0,788.0,804.2857142857143,809.8571428571429
2011-07-30,815,5,7,211,30,1,782.0,804.0,819.0,812.0,756.0,800.2857142857143,808.9642857142857
2011-07-31,799,6,7,212,30,1,815.0,811.0,806.0,832.0,776.0,801.8571428571429,809.0714285714286
2011-08-01,798,0,8,213,31,0,799.0,815.0,787.0,812.0,803.0,800.1428571428571,807.8928571428571
2011-08-02,799,1,8,214,31,0,798.0,796.0,792.0,822.0,791.0,797.7142857142857,807.3928571428571
2011-08-03,809,2,8,215,31,0,799.0,796.0,817.0,825.0,786.0,798.1428571428571,806.5714285714286
2011-08-04,794,3,8,216,31,0,809.0,798.0,804.0,808.0,788.0,800.0,806.0
2011-08-05,790,4,8,217,31,0,794.0,782.0,810.0,799.0,773.0,799.4285714285714,805.5
2011-08-06,786,5,8,218,31,1,790.0,815.0,804.0,818.0,783.0,800.5714285714286,805.1785714285714
2011-08-07,792,6,8,219,31,1,786.0,799.0,811.0,824.0,783.0,796.4285714285714,804.0357142857143
2011-08-08,786,0,8,220,32,0,792.0,798.0,815.0,817.0,777.0,795.4285714285714,802.8928571428571
2011-08-09,794,1,8,221,32,0,786.0,799.0,796.0,798.0,795.0,793.7142857142857,801.7857142857143
2011-08-10,783,2,8,222,32,0,794.0,809.0,796.0,816.0,782.0,793.0,801.6428571428571
2011-08-11,797,3,8,223,32,0,783.0,794.0,798.0,810.0,775.0,789.2857142857143,800.4642857142857
2011-08-12,776,4,8,224,32,0,797.0,790.0,782.0,821.0,777.0,789.7142857142857,800.0
2011-08-13,788,5,8,225,32,1,776.0,786.0,815.0,819.0,777.0,787.7142857142857,798.3928571428571
2011-08-14,795,6,8,226,32,1,788.0,792.0,799.0,806.0,783.0,788.0,797.2857142857143
2011-08-15,780,0,8,227,33,0,795.0,786.0,798.0,787.0,773.0,788.4285714285714,796.8928571428571
2011-08-16,780,1,8,228,33,0,780.0,794.0,799.0,792.0,774.0,787.5714285714286,796.6428571428571
2011-08-17,782,2,8,229,33,0,780.0,783.0,809.0,817.0,764.0,785.5714285714286,796.2142857142857
2011-08-18,787,3,8,230,33,0,782.0,797.0,794.0,804.0,789.0,785.4285714285714,794.9642857142857
2011-08-19,774,4,8,231,33,0,787.0,776.0,790.0,810.0,779.0,784.0,794.3571428571429
2011-08-20,803,5,8,232,33,1,774.0,788.0,786.0,804.0,767.0,783.7142857142857,793.0714285714286
2011-08-21,796,6,8,233,33,1,803.0,795.0,792.0,811.0,785.0,785.8571428571429,793.0357142857143
2011-08-22,780,0,8,234,34,0,796.0,780.0,786.0,815.0,765.0,786.0,792.5
2011-08-23,792,1,8,235,34,0,780.0,780.0,794.0,796.0,766.0,786.0,791.25
2011-08-24,781,2,8,236,34,0,792.0,782.0,783.0,796.0,794.0,787.7142857142857,791.1071428571429
2011-08-25,776,3,8,237,34,0,781.0,787.0,797.0,798.0,770.0,787.5714285714286,790.5714285714286
2011-08-26,794,4,8,238,34,0,776.0,774.0,776.0,782.0,763.0,786.0,789.7857142857143
2011-08-27,767,5,8,239,34,1,794.0,803.0,788.0,815.0,783.0,788.8571428571429,790.2142857142857
2011-08-28,789,6,8,240,34,1,767.0,796.0,795.0,799.0,761.0,783.7142857142857,788.5
2011-08-29,775,0,8,241,35,0,789.0,780.0,780.0,798.0,768.0,782.7142857142857,788.1428571428571
2011-08-30,775,1,8,242,35,0,775.0,792.0,780.0,799.0,782.0,782.0,787.3214285714286
2011-08-31,795,2,8,243,35,0,775.0,781.0,782.0,809.0,779.0,779.5714285714286,786.4642857142857
2011-09-01,774,3,9,244,35,0,795.0,776.0,787.0,794.0,764.0,781.5714285714286,785.9642857142857
2011-09-02,765,4,9,245,35,0,774.0,794.0,774.0,790.0,779.0,781.2857142857143,785.25
2011-09-03,809,5,9,246,35,1,765.0,767.0,803.0,786.0,782.0,777.1428571428571,784.3571428571429
2011-09-04,781,6,9,247,35,1,809.0,789.0,796.0,792.0,751.0,783.1428571428571,785.1785714285714
2011-09-05,782,0,9,248,36,0,781.0,775.0,780.0,786.0,761.0,782.0,784.7857142857143
2011-09-06,781,1,9,249,36,0,782.0,775.0,792.0,794.0,755.0,783.0,784.6428571428571
2011-09-07,766,2,9,250,36,0,781.0,795.0,781.0,783.0,767.0,783.8571428571429,784.1785714285714
2011-09-08,780,3,9,251,36,0,766.0,774.0,776.0,797.0,755.0,779.7142857142857,783.5714285714286
2011-09-09,770,4,9,252,36,0,780.0,765.0,794.0,776.0,769.0,780.5714285714286,782.9642857142857
2011-09-10,787,5,9,253,36,1,770.0,809.0,767.0,788.0,759.0,781.2857142857143,782.75
2011-09-11,780,6,9,254,36,1,787.0,781.0,789.0,795.0,774.0,778.1428571428571,782.7142857142857
2011-09-12,784,0,9,255,37,0,780.0,782.0,775.0,780.0,749.0,778.0,782.1785714285714
2011-09-13,775,1,9,256,37,0,784.0,781.0,775.0,780.0,768.0,778.2857142857143,782.3214285714286
2011-09-14,775,2,9,257,37,0,775.0,766.0,795.0,782.0,771.0,777.4285714285714,782.1428571428571
2011-09-15,773,3,9,258,37,0,775.0,780.0,774.0,787.0,766.0,778.7142857142857,781.8928571428571
